noft_ocrn_dt,crtr_ymd,noft_se_cd,noft_se_nm,noft_ttl,noft_cn,nonstop_yn,upbdnb_se,xcse_sitn_bgng_dt,xcse_sitn_end_dt,line_nm_lst,stn_sctn_cd_lst,event_tags,primary_tag,primary_tag_ko,crowd_relevance,has_protest_kw,has_nonstop_kw,has_event_kw
2020-02-08T16:54:29,20200208,6,기타,"3,4호선 충무로역 무정차 통과 중","2. 8.(토) 16:12경 4호선 충무로역 환승통로 에스컬레이터 연기 발생으로 3, 4호선 상,하선 열차 무정차 통과 중 입니다.-서울교통공사 종합관제단 02-08 16:54:23",Y,"상행, 하행",,,"3호선, 4호선","0321, 0423",nonstop,nonstop,무정차,medium,false,true,false
2020-02-08T17:13:19,20200208,6,기타,열차운행재개(충무로 3.4호선),"2. 8.(토) 16:12경 4호선 충무로역 환승통로 에스컬레이터 연기 발생으로 3, 4호선 상,하선 열차 무정차 통과 중 연기배출 완료되어 정상운행 재개(17:09)-서울교통공사 종합관제단 02-08 17:13:13",Y,"상행, 하행",,2020-02-08T17:09:00,"3호선, 4호선","0321, 0423",nonstop,nonstop,무정차,medium,false,true,false
2020-06-11T11:21:02,20200611,3,열차사고,4호선 열차 추돌,6. 11.(목) 10:43경 4호선 상계역에서 열차 추돌로 당고개~노원역 간 열차 운행 중단 및 노원역 이하 구간 열차 지연 운행 중입니다. 바쁘신 고객께서는 타교통을 이용 바랍니다. 열차이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단 06-11 11:19:54,Y,,,,4호선,"0409, 0410, 0411",nonstop,nonstop,무정차,medium,false,false,false
2020-06-11T11:39:44,20200611,6,기타,4호선 열차 이용 안내,6. 11.(목) 10:43경 4호선 상계역에서 열차 추돌로 당고개~노원역 간은 열차 운행 중단으로 셔틀버스 운영중이며 및 노원역 이하 사당방면은 열차 운행중입니다. 이용에 불편을 드려 대단히 죄송합니다. -서울교통공사 종합관제단  06-11 11:38:37,Y,,,,4호선,"0409, 0410, 0411",nonstop,nonstop,무정차,medium,false,false,false
2020-08-07T08:11:22,20200807,6,기타,오전 러시아워 30분 연장,"금일 출근 시간대 지하철 혼잡도 완화를 위하여 오전 러시아워 30분 연장운행함을 알려드립니다. 열차 이용에 참고하시기 바랍니다.
-서울교통공사 종합관제단 08-07 08:09:45",N,,,,,,crowd_ops,crowd_ops,혼잡시간_운영대응,medium,false,false,false
2020-08-07T08:31:15,20200807,6,기타,오전오후 러시아워 30분 연장,"고객 여러분께 안내말씀 드립니다. 8.6(목) 11시 서울지역 홍수주의보 발령으로 하천 인근 도로를 통제 중입니다. 고객 불편을 해소하고자 8.7(금)부터 홍수주의보 해제시까지 출퇴근 집중 배차시간을 30분 연장(07시~09시30분, 18시~20시30분)하여 36회 증편운행하오니 이용에 참고하시기 바랍니다. 08-07 08:29:39",N,,,,,,crowd_ops,crowd_ops,혼잡시간_운영대응,medium,false,false,false
2020-08-15T19:53:29,20200815,1,화재,3호선 종로3가역 대합실 연기발생으로 무정차 통과 중,3호선 종로3가역 대합실에서 연기발생으로 관계직원 및 119출동하여 조치중으로 종로3가역 양방향 열차 무정차 통과중입니다. 열차이용에 불편을 드려 대한히 죄송합니다. -서울교통공사 종합관제단- 08-15 19:51:49,Y,"상행, 하행",,,3호선,0319,nonstop,nonstop,무정차,medium,false,true,false
2020-10-01T09:00:00,20201001,6,기타,개천절 집회 무정차 통과 사전 안내,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선), 종각역, 안국역 무정차 통과가 실시 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-01 09:00:00",Y,,2020-10-01T09:00:00,,"1호선, 2호선","0152, 0151, 0201",protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-02T17:32:38,20201002,6,기타,개천절 집회 무정차 통과 사전 안내,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선), 종각역, 안국역 무정차 통과가 실시 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-02 17:30:33",Y,,2020-10-02T17:32:38,,"1호선, 2호선","0152, 0151, 0201",protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-03T09:00:00,20201003,6,기타,개천절 집회 무정차 통과 사전 안내,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선), 종각역, 안국역 무정차 통과가 실시 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사-  10-03 09:00:00",Y,,2020-10-03T09:00:00,,"1호선, 2호선","0152, 0151, 0201",protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-03T09:16:32,20201003,6,기타,5호선 광화문역 무정차 운행,"개천절 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 정부 및 서울시 요청에 따라 09:10부터 광화문역(5호선)은 무정차 통과중이며, 09:30부터 시청역(1,2호선), 경복궁역(3호선)역은 무정차 통과 예정입니다. 코로나 19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사- 10-03 09:14:27",Y,,,,"1호선, 2호선, 3호선, 5호선",2534,protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-03T16:38:24,20201003,6,기타,열차 정상운행 예정,"개천절 도심 집회관련 시청역(1,2호선), 경복궁역(3호선), 광화문역(5호선)역 무정차 통과는 17:00부터 전호선 정상운행 예정입니다. -서울교통공사- 10-03 16:36:19",Y,,,2020-10-03T17:00:00,"1호선, 2호선, 3호선, 5호선","0151, 0201, 2534, 0317",protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-03T17:00:00,20201003,6,기타,열차 정상운행,"개천절 도심 집회관련 시청역(1,2호선), 경복궁역(3호선), 광화문역(5호선)역 무정차 통과는 17:00부터 정상운행 합니다. -서울교통공사- 10-03 17:00:00",Y,,,2020-10-03T17:00:00,"1호선, 2호선, 3호선, 5호선","0151, 0201, 2534, 0317",protest;nonstop,protest,시위·집회,high,true,true,false
2020-10-06T17:45:29,20201006,6,기타,5호선 마포역 무정차 통과,"5호선 마포역 인근 건물 화재발생으로 마포역사내 연기가 유입되어 5호선 상하선 열차가 무정차 통과하고 있습니다.
열차 이용에 불편을 드려 죄송합니다
-서울교통공사 종합관제단 10-06 17:43:23",Y,"상행, 하행",,,5호선,2529,nonstop,nonstop,무정차,medium,false,true,false
2020-10-06T18:16:47,20201006,6,기타,5호선 마포역 무정차 통과,"5호선 마포역 인접 건물 화재발생으로 인한 역사내 연기유입으로 5호선 마포역 상하선 열차 무정차 통과중입니다.
화재는 진압 완료되었으나 지하1층 대합실 냄새발생 등 시민의 안전을 위하여 열차가 무정차 통과중임을 양해바랍니다.
열차 이용에 불편을 드려 죄송합니다.
-서울교통공사 종합관제단 10-06 18:14:40",Y,"상행, 하행",,,5호선,2529,nonstop,nonstop,무정차,medium,false,true,false
2020-10-08T18:03:16,20201008,6,기타,한글날 집회 관련 무정차 사전 안내,"한글날 도심 집회로 승객 안전사고 및 코로나19 재확산 우려가 있어, 경찰 등 유관기관의 요청에 따라 광화문역, 경복궁역, 시청역(1,2호선) 무정차 통과가 될 수 있습니다. 코로나19로부터 시민의 건강과 안전을 지키기 위한 조치이오니 양해 부탁드립니다. -서울교통공사-  10-08 18:01:09",Y,,2020-10-08T18:03:16,,"1호선, 2호선","0151, 0201",protest;nonstop,protest,시위·집회,high,true,true,false
