noft_ocrn_dt,crtr_ymd,noft_se_cd,noft_se_nm,noft_ttl,noft_cn,nonstop_yn,upbdnb_se,xcse_sitn_bgng_dt,xcse_sitn_end_dt,line_nm_lst,stn_sctn_cd_lst
2020-01-21T15:29:35,20200121,4,시설장애,9호선 신호장애로 열차지연 발생,"고객여러분께 안내말씀드립니다.
현재 1월 21일 14:30분경 9호선 신호장애로 개화행, 중앙보훈병원행 열차가 지연되고 있습니다.
열차 이용에 불편을 드려 죄송합니다.
-서울시메트로9호선 관제센터- 01-21 15:29:38",N,,,,9호선,
2020-01-22T12:35:02,20200122,2,차량고장,7호선 차량고장에 따른 열차 지연,"고객 여러분께 안내말씀 드립니다.
현재 7호선 차량고장으로 인하여 온수, 부평구청 방면 열차가 지연되고 있습니다.
열차 이용에 불편을 드려 죄송합니다.
-서울교통공사 종합관제단 01-22 12:35:04",N,,,,7호선,
2020-01-22T13:04:37,20200122,2,차량고장,7호선 차량고장에 따른 열차 지연,"고객 여러분께 안내말씀 드립니다.
현재 7호선 온수, 부평구청 방면 열차 운행이 지연되고 있습니다.
바쁘신 고객께서는 다른 교통편을 이용하여 주시기 바랍니다.
열차 이용에 불편을 드려 대단히 죄송합니다.
-서울교통공사 종합관제단 01-22 13:04:40",N,,,,7호선,
2020-01-22T14:01:54,20200122,2,차량고장,7호선 차량고장 조치완료,"현재 7호선 온수, 부평구청 방면 차량고장은 조치완료되어 정상운행중이나 지연이 발생하고 있으니 열차 이용에 참고하여 주시기 바랍니다. 열차 지연으로 불편을 드여 대단히 죄송합니다.
-서울교통공사 종합관제단 01-22 14:01:57",N,,,,7호선,
2020-02-08T16:54:29,20200208,6,기타,"3,4호선 충무로역 무정차 통과 중","2. 8.(토) 16:12경 4호선 충무로역 환승통로 에스컬레이터 연기 발생으로 3, 4호선 상,하선 열차 무정차 통과 중 입니다.-서울교통공사 종합관제단 02-08 16:54:23",Y,"상행, 하행",,,"3호선, 4호선","0321, 0423"
2020-02-08T17:13:19,20200208,6,기타,열차운행재개(충무로 3.4호선),"2. 8.(토) 16:12경 4호선 충무로역 환승통로 에스컬레이터 연기 발생으로 3, 4호선 상,하선 열차 무정차 통과 중 연기배출 완료되어 정상운행 재개(17:09)-서울교통공사 종합관제단 02-08 17:13:13",Y,"상행, 하행",,2020-02-08T17:09:00,"3호선, 4호선","0321, 0423"
2020-02-14T05:52:25,20200214,6,기타,철도공사 작업차 궤도 이탈,"2. 14.(금) 02:13경 철도공사 구로역 구내 작업차 궤도 이탈로 구로~서울역 간 상선 열차가 운행중지 중이며 지하 구간 서울역~청량리역 상선열차 시각 조정운행, 하선 열차 정상적으로 운행 중 입니다.-서울교통공사 종합관제단 02-14 05:52:16",N,상행,,,,"0150, 0151, 0152, 0153, 0154, 0155, 0159, 0156, 0157, 0158, 1701, 1007, 1006, 1032, 1005, 1004, 1003, 1002, 0150"
2020-02-14T06:28:20,20200214,6,기타,철도공사 작업차 궤도 이탈,"06시 20분부로 코레일구간 급전 완료되어 정상운행 준비중이며, 열차 이용에 불편을 드려 대단히 죄송합니다 02-14 06:28:11",N,,,,,
2020-02-14T06:40:23,20200214,6,기타,철도공사 작업차 궤도 이탈(최종),"구로역 구내 모터카 궤도 이탈은 복구 완료되어 구로~서울역간 상2선 열차 정상운행중입니다, 열차 이용에 참고하시기 바랍니다 02-14 06:40:15",N,,,,,"1701, 1007, 1006, 1032, 1005, 1004, 1003, 1002, 0150"
2020-04-14T07:23:21,20200414,3,열차사고,철도공사 구간 열차 탈선,4. 14.(화) 06:27경 영등포역 상선 동인천발 용산행 철도공사 급행 제1008열차가 출발 시 탈선되어 열차 지연 운행 중-서울교통공사 종합관제단 04-14 07:22:42,N,상행,,,,
