post_id,post_date,event_date,post_title,record_type,seq_no,time_raw,time_start,time_end,place_raw,place_primary,venue_raw,march_raw,march_start,march_end,march_waypoints,is_pre_march,parent_seq_no,event_name,personnel_raw,personnel_count,control_time_raw,control_section_raw,control_method_raw,crowd_focus_points,parse_ok,source_url
1993,2026.7.10,2026.7.9,7월 09일 (목) 행사 및 집회,assembly,1,①08:40∼09:00 ②15:00∼16:00,8:40,9:00,서울시의회 앞(인도),서울시의회 앞(인도),,,,,,FALSE,,,,,,,,서울시의회 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1993
1993,2026.7.10,2026.7.9,7월 09일 (목) 행사 및 집회,assembly,2,,,,,,,,,,,FALSE,,,,,,,,,FALSE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1993
1993,2026.7.10,2026.7.9,7월 09일 (목) 행사 및 집회,assembly,3,10:00∼11:00,10:00,11:00,구로 평강제일교회 앞,구로 평강제일교회 앞,,,,,,FALSE,,,500명,500,,,,구로 평강제일교회 앞,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1993
smpa-00338222,2026.7.8,2026.7.9,오늘의 집회 260709 목,assembly,2,11:00~18:00,11:00,18:00,건설회관 앞 <논현동>,건설회관 앞 <논현동>,,,,,,FALSE,,,100명,100,,,,건설회관 앞 <논현동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338222
smpa-00338222,2026.7.8,2026.7.9,오늘의 집회 260709 목,assembly,3,17:30~19:00,17:30,19:00,시교육청 앞 <후암동>,시교육청 앞 <후암동>,,,,,,FALSE,,,300명,300,,,,시교육청 앞 <후암동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338222
smpa-00338222,2026.7.8,2026.7.9,오늘의 집회 260709 목,assembly,4,18:30~19:30,18:30,19:30,사랑채 동측 건너편~진명R <효자로>,사랑채 동측 건너편~진명R <효자로>,,,,,,FALSE,,,"5,000명",5000,,,,사랑채 동측 건너편~진명R <효자로>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338222
1973,2026.7.8,2026.7.8,7월 08일 (수) 행사 및 집회,assembly,1,12:00∼13:00,12:00,13:00,종로구 소녀상 앞 (2개차로),종로구 소녀상 앞 (2개차로),,,,,,FALSE,,,300명,300,,,,종로구 소녀상 앞 (2개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1973
1973,2026.7.8,2026.7.8,7월 08일 (수) 행사 및 집회,assembly,2,12:00∼14:30,12:00,14:30,"국민의힘 당사(이면도로)↔민주당사 ※행진:국민의힘당사↔극동빌딩↔민주당사↔국민의힘당사(0.6km, 이면도로)",국민의힘 당사(이면도로),,"※행진:국민의힘당사↔극동빌딩↔민주당사↔국민의힘당사(0.6km, 이면도로)",국민의힘당사,국민의힘당사,극동빌딩|민주당사,FALSE,,,500명,500,,,,국민의힘 당사(이면도로);국민의힘당사;극동빌딩;민주당사,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1973
1973,2026.7.8,2026.7.8,7월 08일 (수) 행사 및 집회,assembly,3,19:00∼20:00,19:00,20:00,오류동 평강제일교회 앞,오류동 평강제일교회 앞,,,,,,FALSE,,,500명,500,,,,오류동 평강제일교회 앞,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1973
smpa-00338186,2026.7.7,2026.7.8,오늘의 집회 260708 수,assembly,3,18:30~19:30,18:30,19:30,사랑채 동측 건너편~진명R <효자로 등>,사랑채 동측 건너편~진명R <효자로 등>,,,,,,FALSE,,,"5,000명",5000,,,,사랑채 동측 건너편~진명R <효자로 등>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338186
1971,2026.7.7,2026.7.7,7월 07일 (화) 행사 및 집회,assembly,1,13:00∼16:00,13:00,16:00,"동화면세점(1개차로)→사랑채 동측 건너편 ※행진:동화면세점→세종대로사거리→광화문→정부서울청사 →사랑채 동측 건너편 (15:00出, 1.7km, 2개차로)",동화면세점(1개차로),,"※행진:동화면세점→세종대로사거리→광화문→정부서울청사 →사랑채 동측 건너편 (15:00出, 1.7km, 2개차로)",동화면세점,사랑채 동측 건너편,세종대로사거리|광화문|정부서울청사,FALSE,,,"1,000명",1000,,,,동화면세점(1개차로);동화면세점;세종대로사거리;광화문;정부서울청사;사랑채 동측 건너편,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1971
1971,2026.7.7,2026.7.7,7월 07일 (화) 행사 및 집회,pre_march,,12:30∼14:00,12:30,14:00,"사랑채 동측 건너편(1개차로)→동화면세점 ※행진:사랑채 동측 건너편→정부서울청사→광화문→세종대로사거리→동화면세점 (13:30出, 1.7km, 1개차로)",사랑채 동측 건너편(1개차로),,"※행진:사랑채 동측 건너편→정부서울청사→광화문→세종대로사거리→동화면세점 (13:30出, 1.7km, 1개차로)",사랑채 동측 건너편,동화면세점,정부서울청사|광화문|세종대로사거리,TRUE,1,,500명,500,,,,사랑채 동측 건너편(1개차로);사랑채 동측 건너편;정부서울청사;광화문;세종대로사거리;동화면세점,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1971
1971,2026.7.7,2026.7.7,7월 07일 (화) 행사 및 집회,assembly,2,19:00∼20:30,19:00,20:30,사랑채 동측 건너편 (1개차로),사랑채 동측 건너편 (1개차로),,,,,,FALSE,,,300명,300,,,,사랑채 동측 건너편 (1개차로),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1971
1971,2026.7.7,2026.7.7,7월 07일 (화) 행사 및 집회,assembly,3,08:40∼09:00,8:40,9:00,시의회 앞 (인도),시의회 앞 (인도),,,,,,FALSE,,,,,,,,시의회 앞 (인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1971
1971,2026.7.7,2026.7.7,7월 07일 (화) 행사 및 집회,assembly,4,14:00∼16:00,14:00,16:00,"시의회 앞(1개차로)⟷개풍교차로 ※행진:시의회→시청 뒤편→무교동사거리→개풍교차로→대한문 →시의회 (15:15出, 0.9km, 1개차로)",시의회 앞(1개차로),,"※행진:시의회→시청 뒤편→무교동사거리→개풍교차로→대한문 →시의회 (15:15出, 0.9km, 1개차로)",시의회,시의회,시청 뒤편|무교동사거리|개풍교차로|대한문,FALSE,,,500명,500,,,,시의회 앞(1개차로);시의회;시청 뒤편;무교동사거리;개풍교차로;대한문,TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1971
1969,2026.7.6,2026.7.6,7월 06일 (월) 행사 및 집회,assembly,1,08:40∼09:00,8:40,9:00,시의회 앞(인도),시의회 앞(인도),,,,,,FALSE,,,,,,,,시의회 앞(인도),TRUE,https://www.spatic.go.kr/spatic/assem/getInfoView.do?mgrSeq=1969
smpa-00338023,2026.7.3,2026.7.6,오늘의 집회 260706 월,assembly,1,08:00~18:00,8:00,18:00,센터필드 앞 <역삼동>,센터필드 앞 <역삼동>,,,,,,FALSE,,,"1,000명",1000,,,,센터필드 앞 <역삼동>,TRUE,https://www.smpa.go.kr/user/nd54882.do?View&page=1&pageSC=SORT_ORDER&pageSO=DESC&dmlType=&boardNo=00338023
